mid,category,devicename,specification,location
1,display,display,hp,bsrc
2,Computer,desktop,"ZENITH 4 GB i3 2120 500 GB HDD",bsrc
3,display,display,"LG w1941SE","upper floor"
4,Computer,"Integrated PC","Zenith  18.5  inches screen 2 GB RAM 320 GB Hard Disk",A3-106
5,Imaging,Printer,"model ML 2951ND[208 amps laser printer]",B6-204
6,Other,"Electric cattle","NAPLE 1.5L 220V 1500W 35 Hz","In front of A1-102"
7,others,oven,,bsrc
8,Computer,desktop,"dell i4 core",bsrc
9,Computer,Laptop,"dell inspiron 15R i5 4 GB RAM 2 GB graphic 3rd generation 15.6 inches",bsrc
10,display,monitor,"lenovo 50/60 Hz Model LS1922WA monitor",ltrc
11,computer,"integrated PC","zenith eco pc 2 GB ram 320 GB hdd 18.5 lcd",A3-108
12,display,monitor,"LG W1941se studio works",ltrc
13,Computer,desktop,"cooler master  LG super multi Intel core I7 3770 cpu 3.40ghz 32 bit OS RAM 16GB  (500W)",B6-204
14,display,display,"Zenith 4 3 WI941C PF.3TRZEN",A3-110
15,Display,Display,"Lenovo 50 60 Hz Model LS1922WA",A3-106
16,Computer,Desktop,"2 GB RAM Zenith intel dual core",A3-106
17,Computer,Desktop,"HCL 992 MB RAM AMD Athlon 64*2 dual core processsor 2GHz",EERC
18,display,display,"Zenith 4:3 WI941C PF.3TRZEN",B6-204
19,computer,"integrated PC","zenith eco pc 2 GB ram 320 GB hdd 18.5 lcd",A3-108
20,others,others,"coffee machine",canteen
21,display,display,"Zenith 4:3 WI941C PF.3TRZEN",bsrc
22,computer,desktop,,
23,display,monitor,"monitor lenova think vision","girish admin exec"
24,Imaging,printer,"HP laserjet pro 400 MFFM425dn",SPCRC
25,router,router,"linksys SD208 8 port 10/100 switch",A1-102
26,Others,"Induction stove","model PIC 3.0 V2   2000 watts  50hz","girls hostel"
27,Imaging,Printer,"samsung rv411",accounts
28,computer,desktop,,A1-102
29,,,,
30,Imaging,Printer,"HP laserjet pro 400 MFFM425dn",CITE
31,computer,desktop,"zenith 2GB ram DDR2(800) E7500 intel dual core",A3-106
32,others,others,"table fan",A3-110
33,Imaging,Printer,0,psrc
34,computer,,,
35,router,router,3com,A1-101
36,computer,desktop,"I3 2120 4 GB ram 500 GB hdd",A3-108
37,Others,Others,"hot box puff heater",canteen
38,others,others,fridge,bsrc
39,Computer,desktop,HCL,ltrc
