mid,category,acte,f,v,i,date,time
1,display,0.577,49.59,212.8,0.009,2014-04-02,09:52:31
1,display,0.777,49.57,213.1,0.011,2014-04-02,10:02:25
1,display,0.877,49.58,212.5,0.009,2014-04-02,10:12:19
1,display,1.077,49.59,212.2,0.011,2014-04-02,10:22:14
1,display,1.177,49.6,212.8,0.011,2014-04-02,10:32:08
1,display,4.477,49.59,212.5,0.123,2014-04-02,10:42:03
1,display,8.377,49.58,210.8,0.119,2014-04-02,10:51:57
1,display,12.277,49.59,211.7,0.117,2014-04-02,11:01:52
1,display,16.077,49.6,211.7,0.117,2014-04-02,11:11:47
1,display,19.877,49.59,211.9,0.117,2014-04-02,11:21:41
1,display,23.577,49.59,210.8,0.115,2014-04-02,11:31:35
1,display,27.377,49.59,211.1,0.117,2014-04-02,11:41:30
1,display,31.177,49.59,211.1,0.117,2014-04-02,11:51:25
1,display,34.877,49.58,211.1,0.115,2014-04-02,12:01:20
1,display,38.677,49.6,210.8,0.117,2014-04-02,12:11:14
1,display,42.377,49.59,210.2,0.119,2014-04-02,12:21:09
1,display,46.077,49.6,210.8,0.113,2014-04-02,12:31:04
1,display,49.877,49.6,211.4,0.115,2014-04-02,12:40:58
1,display,53.677,49.61,211.7,0.113,2014-04-02,12:50:53
1,display,57.377,49.58,210.2,0.117,2014-04-02,13:00:48
1,display,61.177,49.6,211.1,0.115,2014-04-02,13:10:43
1,display,62.177,49.6,211.9,0.011,2014-04-02,13:20:38
1,display,62.277,49.6,211.4,0.011,2014-04-02,13:30:33
1,display,62.377,49.59,211.9,0.011,2014-04-02,13:40:27
1,display,62.577,49.59,212.5,0.011,2014-04-02,13:50:22
1,display,62.677,49.58,211.7,0.009,2014-04-02,14:00:17
1,display,62.877,49.59,211.7,0.011,2014-04-02,14:10:11
1,display,62.977,49.59,211.4,0.011,2014-04-02,14:20:06
1,display,63.177,49.61,211.9,0.013,2014-04-02,14:30:02
1,display,63.277,49.6,211.1,0.009,2014-04-02,14:39:57
1,display,63.377,49.58,211.7,0.011,2014-04-02,14:49:51
1,display,63.577,49.58,211.4,0.011,2014-04-02,14:59:46
1,display,63.677,49.59,211.1,0.011,2014-04-02,15:09:41
1,display,63.877,49.59,210.8,0.011,2014-04-02,15:19:35
1,display,63.977,49.6,211.1,0.011,2014-04-02,15:29:30
1,display,64.177,49.59,211.4,0.011,2014-04-02,15:39:25
1,display,64.277,49.59,211.9,0.009,2014-04-02,15:49:20
1,display,64.377,49.58,212.2,0.011,2014-04-02,15:59:14
1,display,64.577,49.6,211.7,0.011,2014-04-02,16:09:09
1,display,64.677,49.58,211.7,0.011,2014-04-02,16:19:03
1,display,64.877,49.59,211.9,0.011,2014-04-02,16:28:59
1,display,64.977,49.59,211.9,0.011,2014-04-02,16:38:53
1,display,65.177,49.58,211.7,0.009,2014-04-02,16:48:48
1,display,65.277,49.59,211.4,0.011,2014-04-02,16:58:43
1,display,65.477,49.59,211.4,0.011,2014-04-02,17:08:37
1,display,65.577,49.59,211.7,0.011,2014-04-02,17:18:32
1,display,65.677,49.59,213.1,0.011,2014-04-02,17:28:27
1,display,65.877,49.6,212.2,0.011,2014-04-02,17:38:21
1,display,65.977,49.58,212.5,0.011,2014-04-02,17:48:16
1,display,66.177,49.59,212.8,0.009,2014-04-02,17:58:11
1,display,66.277,49.6,213.9,0.013,2014-04-02,18:08:06
1,display,66.477,49.59,213.3,0.013,2014-04-02,18:18:00
1,display,66.577,49.6,213.9,0.011,2014-04-02,18:27:55
1,display,66.777,49.58,214.2,0.011,2014-04-02,18:37:50
1,display,66.877,49.59,214.5,0.011,2014-04-02,18:47:46
1,display,67.077,49.59,213.6,0.011,2014-04-02,18:57:40
1,display,67.177,49.58,213.3,0.011,2014-04-02,19:07:35
1,display,67.377,49.58,213.6,0.011,2014-04-02,19:17:30
1,display,67.477,49.6,214.2,0.011,2014-04-02,19:27:24
1,display,67.677,49.6,214.8,0.013,2014-04-02,19:37:19
1,display,67.777,49.6,214.2,0.011,2014-04-02,19:47:14
1,display,67.977,49.6,213.6,0.013,2014-04-02,19:57:09
1,display,68.077,49.6,213.9,0.013,2014-04-02,20:07:03
1,display,68.177,49.59,214.5,0.011,2014-04-02,20:16:59
1,display,68.377,49.59,214.5,0.011,2014-04-02,20:26:54
1,display,68.477,49.58,215,0.013,2014-04-02,20:36:48
1,display,68.677,49.59,213.9,0.011,2014-04-02,20:46:43
1,display,68.777,49.6,213.6,0.011,2014-04-02,20:56:38
1,display,68.977,49.58,213.3,0.011,2014-04-02,21:06:33
1,display,69.077,49.6,213.9,0.009,2014-04-02,21:16:28
1,display,69.277,49.59,214.5,0.013,2014-04-02,21:26:23
1,display,69.377,49.59,214.5,0.011,2014-04-02,21:36:18
1,display,69.577,49.59,214.5,0.011,2014-04-02,21:46:13
1,display,69.677,49.59,215,0.011,2014-04-02,21:56:08
1,display,69.877,49.6,214.2,0.011,2014-04-02,22:06:03
1,display,69.977,49.59,215,0.013,2014-04-02,22:15:57
1,display,70.177,49.58,214.5,0.011,2014-04-02,22:25:53
1,display,70.277,49.58,213.9,0.009,2014-04-02,22:35:47
1,display,70.477,49.58,214.5,0.011,2014-04-02,22:45:42
1,display,70.577,49.59,213.3,0.011,2014-04-02,22:55:37
1,display,70.777,49.6,214.5,0.011,2014-04-02,23:05:32
